column,role,public_artifact_note
target,mapped five-class study target,aggregate class counts and confusion summaries are public; retained in public smoke-test sample
raw_action,source firewall action before mapping,controlled event-level field; redacted to a constant token in public smoke-test sample
Receive Time,excluded timestamp,not used as predictor; replaced with synthetic timestamps in public smoke-test sample
Generate Time,chronological split ordering field,used only for ordering in temporal stress tests; replaced with synthetic timestamps in public smoke-test sample
High Res Timestamp,excluded timestamp,not used as predictor; replaced with synthetic timestamps in public smoke-test sample
Type,administrative log type,excluded from core predictors where present; redacted to a constant token in public smoke-test sample
Threat/Content Type,direct threat/signature descriptor,removed in no-threat-descriptors ablation; tokenized in public smoke-test sample
Application,operational application context,retained as residual operational proxy; tokenized in public smoke-test sample
Source Zone,network context,retained as residual operational proxy; tokenized in public smoke-test sample
Destination Zone,network context,retained as residual operational proxy; tokenized in public smoke-test sample
Inbound Interface,network context,retained as residual operational proxy; tokenized in public smoke-test sample
Outbound Interface,network context,retained as residual operational proxy; tokenized in public smoke-test sample
IP Protocol,transport context,retained as residual operational proxy; tokenized in public smoke-test sample
Source Port,transport context,retained as residual operational proxy; tokenized in public smoke-test sample
Destination Port,transport context,retained as residual operational proxy; tokenized in public smoke-test sample
Source Country,mixed country or coarse address-range context,retained as a residual geographic or topology proxy; 13,748 controlled rows (7.76%) contain private/shared/special-purpose range labels; tokenized in public smoke-test sample
Destination Country,mixed country or coarse address-range context,retained as a residual geographic or topology proxy; 7,243 controlled rows (4.09%) contain private/shared/special-purpose range labels; tokenized in public smoke-test sample
Threat/Content Name,direct threat/signature descriptor,removed in no-threat-descriptors ablation; tokenized in public smoke-test sample
Category,residual category proxy,retained in no-threat-descriptors ablation and audited separately; tokenized in public smoke-test sample
Severity,direct threat/signature descriptor,removed in no-threat-descriptors ablation; tokenized in public smoke-test sample
Direction,traffic direction context,retained as residual operational proxy; tokenized in public smoke-test sample
Subcategory of app,application metadata,retained as residual operational proxy; tokenized in public smoke-test sample
Category of app,application metadata,retained as residual operational proxy; tokenized in public smoke-test sample
Technology of app,application metadata,retained as residual operational proxy; tokenized in public smoke-test sample
Risk of app,application risk metadata,retained as residual operational proxy; tokenized in public smoke-test sample
SaaS of app,application metadata,retained as residual operational proxy; tokenized in public smoke-test sample
Rule,direct policy context,excluded as predictor and anonymized in aggregate grouping outputs; tokenized as rule_context codes in public smoke-test sample
